iter	MultiClass
0	1.084918743
1	1.075152668
2	1.065276465
3	1.048938154
4	1.037413202
5	1.028300294
6	1.019684896
7	1.010513962
8	1.000219215
9	0.9904446195
10	0.9800325357
11	0.971343398
12	0.9646698807
13	0.9506183091
14	0.9433577841
15	0.9361300782
16	0.9316479741
17	0.924238509
18	0.9160557045
19	0.906166495
20	0.8981616996
21	0.8949557436
22	0.8883420567
23	0.8806981102
24	0.8728469249
25	0.8625542106
26	0.8523944308
27	0.8428547678
28	0.8366958754
29	0.8270864135
30	0.8211758092
31	0.8085396213
32	0.8004651733
33	0.7936276719
34	0.7866155617
35	0.7806486551
36	0.7752091091
37	0.7709248714
38	0.7655040386
39	0.7639069598
40	0.7582157366
41	0.7512358085
42	0.7447181999
43	0.7386600618
44	0.7301491088
45	0.7278332314
46	0.7204045168
47	0.7144642225
48	0.7085850813
49	0.7018189948
