iter	Passed	Remaining
0	64	3142
1	66	1591
2	68	1077
3	71	818
4	73	659
5	75	554
6	77	477
7	79	419
8	86	391
9	88	352
10	90	320
11	92	292
12	94	268
13	96	248
14	101	235
15	103	219
16	105	204
17	107	190
18	109	178
19	111	167
20	114	158
21	117	149
22	119	140
23	121	131
24	123	123
25	126	116
26	128	109
27	130	102
28	132	96
29	134	89
30	136	83
31	139	78
32	141	72
33	143	67
34	145	62
35	147	57
36	163	57
37	165	52
38	167	47
39	169	42
40	171	37
41	173	33
42	175	28
43	178	24
44	180	20
45	183	15
46	185	11
47	187	7
48	189	3
49	191	0
